irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
503612,RG-50.005.0022,Yes,Yes,Yes
503614,RG-50.005.0023,Yes,Yes,no
503616,RG-50.005.0024,Yes,Yes,No
503618,RG-50.005.0025,Yes,Yes,No
503620,RG-50.005.0026,Yes,Yes,No
503622,RG-50.005.0027,Yes,Yes,No
503624,RG-50.005.0028,Yes,Yes,Yes
503626,RG-50.005.0029,Yes,Yes,No
503628,RG-50.005.0030,Yes,Yes,No
503630,RG-50.005.0031,Yes,Yes,No
503631,RG-50.005.0032,Yes,Yes,No
503633,RG-50.005.0033,Yes,Yes,No
503635,RG-50.005.0034,Yes,Yes,No
503637,RG-50.005.0035,Yes,Yes,No
503639,RG-50.005.0036,Yes,Yes,No
503641,RG-50.005.0037,Yes,Yes,Yes
503643,RG-50.005.0038,Yes,Yes,No
503645,RG-50.005.0039,Yes,Yes,No
503646,RG-50.005.0040,Yes,Yes,No
503648,RG-50.005.0041,Yes,Yes,No
503650,RG-50.005.0042,Yes,Yes,No
503652,RG-50.005.0043,Yes,Yes,Yes
503654,RG-50.005.0044,Yes,Yes,No
503656,RG-50.005.0045,Yes,Yes,No
503658,RG-50.005.0046,Yes,Yes,No
503660,RG-50.005.0047,Yes,Yes,Yes
503662,RG-50.005.0048,Yes,Yes,No
503664,RG-50.005.0049,Yes,Yes,No
503666,RG-50.005.0050,Yes,Yes,No
503667,RG-50.005.0051,Yes,Yes,no
503669,RG-50.005.0052,Yes,Yes,No
503671,RG-50.005.0053,Yes,Yes,No
503673,RG-50.005.0054,Yes,Yes,No
503675,RG-50.005.0055,Yes,Yes,No
503677,RG-50.005.0056,Yes,Yes,No
503679,RG-50.005.0057,Yes,Yes,No
503681,RG-50.005.0058,Yes,Yes,No
503683,RG-50.005.0059,Yes,Yes,No
614114,RG-50.006.0001,Yes,Yes,No
614108,RG-50.006.0002,Yes,Yes,No
614112,RG-50.006.0003,Yes,Yes,No
614115,RG-50.006.0004,Yes,Yes,No
614113,RG-50.006.0005,Yes,Yes,No
614110,RG-50.006.0006,Yes,Yes,No
614111,RG-50.006.0007,Yes,Yes,No
614117,RG-50.006.0008,Yes,Yes,No
597300,RG-50.007.0001,Yes,Yes,No
597301,RG-50.007.0002,Yes,Yes,No
597302,RG-50.007.0003,Yes,Yes,No
597303,RG-50.007.0004,Yes,Yes,No
508129,RG-50.008.0001,Yes,Yes,no
39547,RG-50.009.0001,Yes,Yes,yes
39550,RG-50.009.0002,Yes,Yes,no
39551,RG-50.009.0003,Yes,Yes,no
39552,RG-50.009.0004,Yes,Yes,No
39553,RG-50.009.0005,Yes,Yes,yes
39554,RG-50.009.0006,Yes,Yes,no
39555,RG-50.009.0007,Yes,Yes,no
39556,RG-50.009.0008,Yes,Yes,no
39557,RG-50.009.0009,Yes,Yes,No
39558,RG-50.009.0010,Yes,Yes,no
39560,RG-50.009.0011,Yes,Yes,No
39561,RG-50.009.0012,Yes,Yes,no
39562,RG-50.009.0013,Yes,Yes,no
39563,RG-50.009.0014,Yes,Yes,No
39564,RG-50.009.0015,Yes,Yes,no
508870,RG-50.010.0001,Yes,Yes,Yes
508871,RG-50.010.0002,Yes,Yes,no
508872,RG-50.010.0003,Yes,Yes,no
508873,RG-50.010.0004,Yes,Yes,Yes
508874,RG-50.010.0005,Yes,Yes,Yes
508875,RG-50.010.0006,Yes,Yes,Yes
508876,RG-50.010.0007,Yes,Yes,Yes
508877,RG-50.010.0008,Yes,Yes,no
508878,RG-50.010.0009,Yes,Yes,no
508879,RG-50.010.0010,Yes,Yes,no
508880,RG-50.010.0011,Yes,Yes,Yes
508881,RG-50.010.0012,Yes,Yes,Yes
508882,RG-50.010.0013,Yes,Yes,Yes
508883,RG-50.010.0014,Yes,Yes,no
508884,RG-50.010.0015,Yes,Yes,Yes
508885,RG-50.010.0016,Yes,Yes,Yes
508886,RG-50.010.0017,Yes,Yes,Yes
508887,RG-50.010.0018,Yes,Yes,Yes
508888,RG-50.010.0019,Yes,Yes,Yes
508889,RG-50.010.0020,Yes,Yes,Yes
508890,RG-50.010.0021,Yes,Yes,Yes
508891,RG-50.010.0022,Yes,Yes,Yes
508892,RG-50.010.0023,Yes,Yes,no
508893,RG-50.010.0024,Yes,Yes,no
508894,RG-50.010.0025,Yes,Yes,Yes
508895,RG-50.010.0026,Yes,Yes,Yes
508896,RG-50.010.0027,Yes,Yes,no
508897,RG-50.010.0028,Yes,Yes,Yes
508898,RG-50.010.0029,Yes,Yes,Yes
508899,RG-50.010.0030,Yes,Yes,Yes
508900,RG-50.010.0031,Yes,Yes,Yes
508901,RG-50.010.0032,Yes,Yes,Yes
508902,RG-50.010.0033,Yes,Yes,Yes
508903,RG-50.010.0034,Yes,Yes,no
508904,RG-50.010.0035,Yes,Yes,Yes
508905,RG-50.010.0036,Yes,Yes,no
508906,RG-50.010.0037,Yes,Yes,no
508907,RG-50.010.0038,Yes,Yes,Yes
508908,RG-50.010.0039,Yes,Yes,Yes
508909,RG-50.010.0040,Yes,Yes,Yes
508910,RG-50.010.0041,Yes,Yes,no
508911,RG-50.010.0042,Yes,Yes,Yes
508912,RG-50.010.0043,Yes,Yes,Yes
508913,RG-50.010.0044,Yes,Yes,no
508914,RG-50.010.0045,Yes,Yes,Yes
508915,RG-50.010.0046,Yes,Yes,Yes
508916,RG-50.010.0047,Yes,Yes,Yes
508917,RG-50.010.0048,Yes,Yes,no
508918,RG-50.010.0049,Yes,Yes,no
508919,RG-50.010.0050,Yes,Yes,Yes
508920,RG-50.010.0051,Yes,Yes,Yes
508921,RG-50.010.0052,Yes,Yes,Yes
508922,RG-50.010.0053,Yes,Yes,no
508923,RG-50.010.0054,Yes,Yes,Yes
508924,RG-50.010.0055,Yes,Yes,no
508925,RG-50.010.0056,Yes,Yes,no
508926,RG-50.010.0057,Yes,Yes,Yes
508927,RG-50.010.0058,Yes,Yes,Yes
508928,RG-50.010.0059,Yes,Yes,Yes
508929,RG-50.010.0060,Yes,Yes,Yes
508930,RG-50.010.0061,Yes,Yes,no
508931,RG-50.010.0062,Yes,Yes,Yes
508932,RG-50.010.0063,Yes,Yes,Yes
508933,RG-50.010.0064,Yes,Yes,Yes
508934,RG-50.010.0065,Yes,Yes,Yes
508935,RG-50.010.0066,Yes,Yes,Yes
508936,RG-50.010.0067,Yes,Yes,Yes
508937,RG-50.010.0068,Yes,Yes,Yes
508938,RG-50.010.0069,Yes,Yes,Yes
508939,RG-50.010.0070,Yes,Yes,Yes
508940,RG-50.010.0071,Yes,Yes,Yes
508941,RG-50.010.0072,Yes,Yes,Yes
508942,RG-50.010.0073,Yes,Yes,Yes
508943,RG-50.010.0074,Yes,Yes,no
508944,RG-50.010.0075,Yes,Yes,no
508946,RG-50.010.0076,Yes,Yes,Yes
508947,RG-50.010.0077,Yes,Yes,Yes
508948,RG-50.010.0078,Yes,Yes,no
